season,url,brand
Fall 1999 Ready To Wear,https://www.vogue.com/fashion-shows/fall-1999-ready-to-wear/calvin-klein-collection, Calvin Klein Collection
Fall 1999 Ready To Wear,https://www.vogue.com/fashion-shows/fall-1999-ready-to-wear/chanel, Chanel
Fall 1999 Ready To Wear,https://www.vogue.com/fashion-shows/fall-1999-ready-to-wear/chloe, Chloé
Fall 1999 Ready To Wear,https://www.vogue.com/fashion-shows/fall-1999-ready-to-wear/comme-des-garcons, Comme des Garçons
Fall 1999 Ready To Wear,https://www.vogue.com/fashion-shows/fall-1999-ready-to-wear/fendi, Fendi
Fall 1999 Ready To Wear,https://www.vogue.com/fashion-shows/fall-1999-ready-to-wear/ghost, Ghost
Fall 1999 Ready To Wear,https://www.vogue.com/fashion-shows/fall-1999-ready-to-wear/givenchy, Givenchy
Fall 1999 Ready To Wear,https://www.vogue.com/fashion-shows/fall-1999-ready-to-wear/helmut-lang, Helmut Lang
Fall 1999 Ready To Wear,https://www.vogue.com/fashion-shows/fall-1999-ready-to-wear/hermes, Hermès
Fall 1999 Ready To Wear,https://www.vogue.com/fashion-shows/fall-1999-ready-to-wear/john-galliano, John Galliano
Fall 1999 Ready To Wear,https://www.vogue.com/fashion-shows/fall-1999-ready-to-wear/marc-jacobs, Marc Jacobs
Fall 1999 Ready To Wear,https://www.vogue.com/fashion-shows/fall-1999-ready-to-wear/mcqueen, McQueen
Fall 1999 Ready To Wear,https://www.vogue.com/fashion-shows/fall-1999-ready-to-wear/miu-miu, Miu Miu
Spring 1999 Ready To Wear,https://www.vogue.com/fashion-shows/spring-1999-ready-to-wear/as-four, As Four
Spring 1999 Ready To Wear,https://www.vogue.com/fashion-shows/spring-1999-ready-to-wear/calvin-klein-collection, Calvin Klein Collection
Spring 1999 Ready To Wear,https://www.vogue.com/fashion-shows/spring-1999-ready-to-wear/chloe, Chloé
Spring 1999 Ready To Wear,https://www.vogue.com/fashion-shows/spring-1999-ready-to-wear/comme-des-garcons, Comme des Garçons
