season,url,list-of-brands
Fall 1999 Ready To Wear,https://www.vogue.com/fashion-shows/fall-1999-ready-to-wear,"Calvin Klein Collection, Chanel, Chloé, Comme des Garçons, Fendi, Ghost, Givenchy, Helmut Lang, Hermès, John Galliano, Marc Jacobs, McQueen, Miu Miu"
Spring 1999 Ready To Wear,https://www.vogue.com/fashion-shows/spring-1999-ready-to-wear,"As Four, Calvin Klein Collection, Chloé, Comme des Garçons, Dolce & Gabbana, Fendi, Gucci, Helmut Lang, Hermès, John Galliano, Maison Margiela, Marc Jacobs, Marni, McQueen, Miu Miu, Olivier Theyskens, Prada, Yohji Yamamoto"
Fall 1998 Ready To Wear,https://www.vogue.com/fashion-shows/fall-1998-ready-to-wear,"Anna Sui, Calvin Klein Collection, Comme des Garçons, Helmut Lang, Hermès, Louis Vuitton, Maison Margiela, McQueen, Miu Miu, Olivier Theyskens, Yohji Yamamoto"
Spring 1998 Ready To Wear,https://www.vogue.com/fashion-shows/spring-1998-ready-to-wear,"Ann Demeulemeester, Balenciaga, Calvin Klein Collection, Chalayan, Comme des Garçons, Helmut Lang, Issey Miyake, Jean Paul Gaultier, Maison Margiela, Marc Jacobs, McQueen, Miu Miu, Prada, Raf Simons"
Fall 1997 Ready To Wear,https://www.vogue.com/fashion-shows/fall-1997-ready-to-wear,"Calvin Klein Collection, Cerruti, Comme des Garçons, John Galliano, Maison Margiela, Marc Jacobs, Martine Sitbon, McQueen, Miu Miu, Philip Treacy, Versace"
Spring 1997 Ready To Wear,https://www.vogue.com/fashion-shows/spring-1997-ready-to-wear,"Ann Demeulemeester, Calvin Klein Collection, Cerruti, Comme des Garçons, Dolce & Gabbana, Jean Paul Gaultier, Maison Margiela, McQueen, Prada, Versace, Versus Versace, Yohji Yamamoto"
Fall 1996 Ready To Wear,https://www.vogue.com/fashion-shows/fall-1996-ready-to-wear,"Calvin Klein Collection, Comme des Garçons, Gucci, Maison Margiela, McQueen, Michael Kors Collection, Prada, Versace, Vivienne Westwood"
Spring 1996 Ready To Wear,https://www.vogue.com/fashion-shows/spring-1996-ready-to-wear,"Calvin Klein Collection, Chanel, Comme des Garçons, John Galliano, Maison Margiela, McQueen, Miu Miu, Prada, Versace"
Fall 1995 Ready To Wear,https://www.vogue.com/fashion-shows/fall-1995-ready-to-wear,"Calvin Klein Collection, Chalayan, Comme des Garçons, Gucci, Jean Paul Gaultier, John Galliano, Maison Margiela, Marc Jacobs, Miu Miu, Versace, Vivienne Westwood, Yohji Yamamoto"
Spring 1995 Ready To Wear,https://www.vogue.com/fashion-shows/spring-1995-ready-to-wear,"Calvin Klein Collection, Chanel, Comme des Garçons, Issey Miyake, Jean Paul Gaultier, John Galliano, Maison Margiela, Marc Jacobs, McQueen, Prada, Todd Oldham, Versace, Xuly.Bët"
Fall 1994 Ready To Wear,https://www.vogue.com/fashion-shows/fall-1994-ready-to-wear,"Chanel, Comme des Garçons, Helmut Lang, John Galliano, Marc Jacobs, Michael Kors Collection, Todd Oldham, Versace, Vivienne Westwood"
Spring 1994 Ready To Wear,https://www.vogue.com/fashion-shows/spring-1994-ready-to-wear,"Anna Sui, Calvin Klein Collection, Chanel, Comme des Garçons, Jean Paul Gaultier, Moschino, Prada, Versace, Vivienne Westwood"
Fall 1993 Ready To Wear,https://www.vogue.com/fashion-shows/fall-1993-ready-to-wear,"Comme des Garçons, Versace, Vivienne Westwood"
Spring 1993 Ready To Wear,https://www.vogue.com/fashion-shows/spring-1993-ready-to-wear,"Anna Sui, Chanel, Christian Francis Roth, Comme des Garçons, Dolce & Gabbana, John Galliano, Maison Margiela, Perry Ellis, Prada, Todd Oldham, Versace"
Fall 1992 Ready To Wear,https://www.vogue.com/fashion-shows/fall-1992-ready-to-wear,"Alaïa, Comme des Garçons, Versace"
Spring 1992 Ready To Wear,https://www.vogue.com/fashion-shows/spring-1992-ready-to-wear,"Alaïa, Chanel, Comme des Garçons, Dolce & Gabbana, Mugler, Prada, Versace"
Fall 1991 Ready To Wear,https://www.vogue.com/fashion-shows/fall-1991-ready-to-wear,"Alaïa, Chanel, Michael Kors Collection, Versace"
Spring 1991 Ready To Wear,https://www.vogue.com/fashion-shows/spring-1991-ready-to-wear,"Alaïa, Comme des Garçons, Moschino, Versace"
Fall 1990 Ready To Wear,https://www.vogue.com/fashion-shows/fall-1990-ready-to-wear,"Alaïa" 
Spring 1990 Ready To Wear,https://www.vogue.com/fashion-shows/spring-1990-ready-to-wear,"Alaïa, Romeo Gigli"
