season,url,sampled_brands
Fall 1999 Ready To Wear,https://www.vogue.com/fashion-shows/fall-1999-ready-to-wear,"Ghost, Fendi, Comme des Garçons, Chloé, Miu Miu, Givenchy, Chanel, John Galliano, Helmut Lang, Marc Jacobs, McQueen, Calvin Klein Collection, Hermès"
Spring 1999 Ready To Wear,https://www.vogue.com/fashion-shows/spring-1999-ready-to-wear,"Dolce & Gabbana, McQueen, Prada, Olivier Theyskens, Hermès, Miu Miu, Gucci, Fendi, Maison Margiela, Marc Jacobs, Helmut Lang, Marni, As Four, Chloé, Comme des Garçons, Calvin Klein Collection, Yohji Yamamoto, John Galliano"
Fall 1998 Ready To Wear,https://www.vogue.com/fashion-shows/fall-1998-ready-to-wear,"Olivier Theyskens, Comme des Garçons, Miu Miu, Helmut Lang, Anna Sui, Louis Vuitton, McQueen, Hermès, Maison Margiela, Yohji Yamamoto, Calvin Klein Collection"
Spring 1998 Ready To Wear,https://www.vogue.com/fashion-shows/spring-1998-ready-to-wear,"Comme des Garçons, Miu Miu, Marc Jacobs, Chalayan, Prada, Jean Paul Gaultier, Issey Miyake, Calvin Klein Collection, Balenciaga, Raf Simons, Helmut Lang, Ann Demeulemeester, McQueen, Maison Margiela"
Fall 1997 Ready To Wear,https://www.vogue.com/fashion-shows/fall-1997-ready-to-wear,"Comme des Garçons, Philip Treacy, John Galliano, McQueen, Marc Jacobs, Calvin Klein Collection, Martine Sitbon, Cerruti, Versace, Maison Margiela, Miu Miu"
Spring 1997 Ready To Wear,https://www.vogue.com/fashion-shows/spring-1997-ready-to-wear,"Dolce & Gabbana, Comme des Garçons, Versus Versace, Ann Demeulemeester, Maison Margiela, Calvin Klein Collection, McQueen, Cerruti, Prada, Yohji Yamamoto, Jean Paul Gaultier, Versace"
Fall 1996 Ready To Wear,https://www.vogue.com/fashion-shows/fall-1996-ready-to-wear,"Comme des Garçons, Prada, Michael Kors Collection, Gucci, Calvin Klein Collection, Versace, McQueen, Maison Margiela, Vivienne Westwood"
Spring 1996 Ready To Wear,https://www.vogue.com/fashion-shows/spring-1996-ready-to-wear,"Comme des Garçons, Prada, Maison Margiela, Calvin Klein Collection, Versace, Chanel, McQueen, John Galliano, Miu Miu"
Fall 1995 Ready To Wear,https://www.vogue.com/fashion-shows/fall-1995-ready-to-wear,"Yohji Yamamoto, Comme des Garçons, John Galliano, Maison Margiela, Gucci, Chalayan, Vivienne Westwood, Calvin Klein Collection, Marc Jacobs, Miu Miu, Versace, Jean Paul Gaultier"
Spring 1995 Ready To Wear,https://www.vogue.com/fashion-shows/spring-1995-ready-to-wear,"Calvin Klein Collection, Comme des Garçons, Todd Oldham, John Galliano, Issey Miyake, Versace, Maison Margiela, Chanel, Prada, Xuly.Bët, Marc Jacobs, McQueen, Jean Paul Gaultier"
Fall 1994 Ready To Wear,https://www.vogue.com/fashion-shows/fall-1994-ready-to-wear,"Vivienne Westwood, Marc Jacobs, Comme des Garçons, Chanel, Helmut Lang, Versace, Michael Kors Collection, John Galliano, Todd Oldham"
Spring 1994 Ready To Wear,https://www.vogue.com/fashion-shows/spring-1994-ready-to-wear,"Moschino, Prada, Chanel, Versace, Vivienne Westwood, Jean Paul Gaultier, Calvin Klein Collection, Anna Sui, Comme des Garçons"
Fall 1993 Ready To Wear,https://www.vogue.com/fashion-shows/fall-1993-ready-to-wear,"Versace, Vivienne Westwood, Comme des Garçons"
Spring 1993 Ready To Wear,https://www.vogue.com/fashion-shows/spring-1993-ready-to-wear,"Todd Oldham, Comme des Garçons, Prada, Christian Francis Roth, Anna Sui, Maison Margiela, Dolce & Gabbana, Versace, Chanel, Perry Ellis, John Galliano"
Fall 1992 Ready To Wear,https://www.vogue.com/fashion-shows/fall-1992-ready-to-wear,"Alaïa, Comme des Garçons, Versace"
Spring 1992 Ready To Wear,https://www.vogue.com/fashion-shows/spring-1992-ready-to-wear,"Versace, Mugler, Alaïa, Comme des Garçons, Chanel, Prada, Dolce & Gabbana"
Fall 1991 Ready To Wear,https://www.vogue.com/fashion-shows/fall-1991-ready-to-wear,"Chanel, Michael Kors Collection, Versace, Alaïa"
Spring 1991 Ready To Wear,https://www.vogue.com/fashion-shows/spring-1991-ready-to-wear,"Moschino, Comme des Garçons, Alaïa, Versace"
Fall 1990 Ready To Wear,https://www.vogue.com/fashion-shows/fall-1990-ready-to-wear,Alaïa
Spring 1990 Ready To Wear,https://www.vogue.com/fashion-shows/spring-1990-ready-to-wear,"Alaïa, Romeo Gigli"
